,Company Name,Salary Estimate
290,EXECONLINE,$56K-$95K
291,MTEQ,$62K-$112K
292,BRILLIENT,$64K-$108K
293,ENTEFY,$89K-$144K
294,TRACE3,$55K-$105K
295,"SAAMA TECHNOLOGIE,",$57K-$80K
296,TWO SIGMA,$129K-$215K
297,STRATEGIC FINANCIAL SOLUTIONS,$71K-$124K
298,"REMEDY BPCI PARTNERS,.",$69K-$121K
299,THE CLIMATE CORPORATION,$150K-$238K
300,CROSSIX SOLUTIONS,$77K-$132K
301,GSK,$62K-$119K
302,FACTUAL,$119K-$187K
303,TRINET,$90K-$157K
304,SIGNPOST,$32K-$62K
305,ADOBE,$116K-$208K
306,EQUIAN,$76K-$142K
307,INFORMATION BUILDERS,$91K-$159K
308,GREENWAY HEALTH,$27K-$48K
309,CONFLUENT,$130K-$206K
310,LIFE360,$99K-$178K
311,IQVIA,$86K-$137K
312,RIVERSIDE RESEARCH INSTITUTE,$61K-$126K
313,ICON HEALTH AND FITNESS,$33K-$61K
314,SHIPT,$44K-$86K
315,MONTE ROSA THERAPEUTICS,Employer Provided Salary:$100K-$135K
316,INTRAEDGE,$42K-$79K
317,COUNTRY FINANCIAL,$44K-$73K
318,MENTOR GRAPHICS,$72K-$142K
319,MAXAR TECHNOLOGIES,$74K-$137K
320,ICW GROUP,$57K-$109K
321,EXELIXIS,$59K-$116K
322,GRAND ROUNDS,$171K-$272K
323,"SPINS,",$65K-$126K
324,DTCC,$118K-$228K
325,CARILION CLINIC,$58K-$104K
326,DOUBLEVERIFY,$58K-$108K
327,MITSUBISHI ELECTRIC RESEARCH LABS,$81K-$161K
328,"RODAN AND FIELDS,",$61K-$110K
329,DESC,$32K-$57K
330,JOHNS HOPKINS HEALTH CARE,$79K-$136K
331,COMMUNITY BEHAVIORAL HEALTH,$50K-$89K
332,FORMA THERAPEUTICS,$27-$47 Per Hou
333,BRIDG,$71K-$135K
334,CHARTER SPECTRUM,$71K-$121K
335,COMPQSOFT,$72K-$121K
337,WEST COAST UNIVERSITY,$101K-$141K
338,SOFTBANK ROBOTICS,$79K-$127K
339,SKYSYNC,Employer Provided Salary:$120K-$140K
340,"DATAMANUSA,",$65K-$113K
341,23ANDME,$59K-$125K
342,FIVESTARS,$62K-$113K
